accomodation_type,address,beds,beds_all,latitude,longitude,num_of_guests,rating_value,review_count,title,url
3 Apartments,"Mall Road Ideal hills hotel murree mall road club estate, 47150 Murree, Pakistan","1 Single Bed, 4 Double Bed",5,33.91048400,73.39592800,9,9.3,3 reviews,Ideal Hills Hotel,https://www.booking.com/hotel/pk/ideal-hills.en-gb.html?label=gog235jc-1DCAsoZUInZHVicm92bmlrLW9sZC10b3duLWFwYXJ0bWVudHMtZHVicm92bmlrSDNYA2hliAEBmAExuAEXyAEP2AED6AEB-AECiAIBqAIDuALY9uSkBsACAdICJDBlNDY0YzdmLThjODItNDFjZS1iZWExLTViYjA1Mzk3NGM0YdgCBOACAQ&sid=e29e91753cc86c2aeb8721760453cb3a&aid=356980&ucfs=1&arphpl=1&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=0a439b2a6d29001f&srepoch=1688076246&from=searchresults#hotelTmpl
10 Apartments,"Mount View Road Murree Pakistan, 47150 Murree, Pakistan","11 Single Bed, 2 Double Bed, 5 Extra Large Double Bed",18,33.90695800,73.39430200,29,8.6,86 reviews,Cecil Murree,https://www.booking.com/hotel/pk/one-cecil-murree.en-gb.html?label=gog235jc-1DCAsoZUInZHVicm92bmlrLW9sZC10b3duLWFwYXJ0bWVudHMtZHVicm92bmlrSDNYA2hliAEBmAExuAEXyAEP2AED6AEB-AECiAIBqAIDuALY9uSkBsACAdICJDBlNDY0YzdmLThjODItNDFjZS1iZWExLTViYjA1Mzk3NGM0YdgCBOACAQ&sid=e29e91753cc86c2aeb8721760453cb3a&aid=356980&ucfs=1&arphpl=1&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=0a439b2a6d29001f&srepoch=1688076246&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
5 Apartments,"Kuldana Road, 47150 Murree, Pakistan","1 Large Double Bed, 7 Extra Large Double Bed, 5 Sofa Bed",13,33.91370400,73.39796800,15,7.4,10 reviews,Hotel Faran Murree,https://www.booking.com/hotel/pk/faran-murree-murree1.en-gb.html?label=gog235jc-1DCAsoZUInZHVicm92bmlrLW9sZC10b3duLWFwYXJ0bWVudHMtZHVicm92bmlrSDNYA2hliAEBmAExuAEXyAEP2AED6AEB-AECiAIBqAIDuALY9uSkBsACAdICJDBlNDY0YzdmLThjODItNDFjZS1iZWExLTViYjA1Mzk3NGM0YdgCBOACAQ&sid=e29e91753cc86c2aeb8721760453cb3a&aid=356980&ucfs=1&arphpl=1&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=0a439b2a6d29001f&srepoch=1688076246&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
2 Apartments,"454, Street 1, Lower Jhika Gali, Murree Improvement Trust, MIT, Murree, 47180 Murree, Pakistan",3 Large Double Bed,3,33.90531706,73.40357027,6,8.4,73 reviews,"VivaPines, Murree",https://www.booking.com/hotel/pk/vivapines.en-gb.html?label=gog235jc-1DCAsoZUInZHVicm92bmlrLW9sZC10b3duLWFwYXJ0bWVudHMtZHVicm92bmlrSDNYA2hliAEBmAExuAEXyAEP2AED6AEB-AECiAIBqAIDuALY9uSkBsACAdICJDBlNDY0YzdmLThjODItNDFjZS1iZWExLTViYjA1Mzk3NGM0YdgCBOACAQ&sid=e29e91753cc86c2aeb8721760453cb3a&aid=356980&ucfs=1&arphpl=1&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=0a439b2a6d29001f&srepoch=1688076246&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
2 Apartments,"Upper Jhika Gali Road, 47150 Murree, Pakistan",2 Double Bed,2,33.91202600,73.40518900,6,8.6,120 reviews,"Roomy Junction, Murree",https://www.booking.com/hotel/pk/roomy-junction.en-gb.html?label=gog235jc-1DCAsoZUInZHVicm92bmlrLW9sZC10b3duLWFwYXJ0bWVudHMtZHVicm92bmlrSDNYA2hliAEBmAExuAEXyAEP2AED6AEB-AECiAIBqAIDuALY9uSkBsACAdICJDBlNDY0YzdmLThjODItNDFjZS1iZWExLTViYjA1Mzk3NGM0YdgCBOACAQ&sid=e29e91753cc86c2aeb8721760453cb3a&aid=356980&ucfs=1&arphpl=1&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=0a439b2a6d29001f&srepoch=1688076246&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
2 Apartments,"Jhika Gali Road Murree, 47000 Murree, Pakistan","2 Single Bed, 2 Extra Large Double Bed",4,33.91666700,73.41666700,6,8.4,130 reviews,"The Roomy Lodge, Murree",https://www.booking.com/hotel/pk/the-roomy-lodge.en-gb.html?label=gog235jc-1DCAsoZUInZHVicm92bmlrLW9sZC10b3duLWFwYXJ0bWVudHMtZHVicm92bmlrSDNYA2hliAEBmAExuAEXyAEP2AED6AEB-AECiAIBqAIDuALY9uSkBsACAdICJDBlNDY0YzdmLThjODItNDFjZS1iZWExLTViYjA1Mzk3NGM0YdgCBOACAQ&sid=e29e91753cc86c2aeb8721760453cb3a&aid=356980&ucfs=1&arphpl=1&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=0a439b2a6d29001f&srepoch=1688076246&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
4 Apartments,"Cuart Road, 47150 Murree, Pakistan","4 Single Bed, 5 Large Double Bed, 1 Extra Large Double Bed",10,33.90555460,73.38778413,14,8.2,341 reviews,Grand Taj Hotel,https://www.booking.com/hotel/pk/grand-taj.en-gb.html?label=gog235jc-1DCAsoZUInZHVicm92bmlrLW9sZC10b3duLWFwYXJ0bWVudHMtZHVicm92bmlrSDNYA2hliAEBmAExuAEXyAEP2AED6AEB-AECiAIBqAIDuALY9uSkBsACAdICJDBlNDY0YzdmLThjODItNDFjZS1iZWExLTViYjA1Mzk3NGM0YdgCBOACAQ&sid=e29e91753cc86c2aeb8721760453cb3a&aid=356980&ucfs=1&arphpl=1&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=0a439b2a6d29001f&srepoch=1688076246&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
5 Apartments,"B-1, Kashmir Point, Sangjani Lodges, near Gov House Rd, near Governor House Road, Murree, Rawalpindi, Punjab 47150, 47150 Murree, Pakistan","10 Single Bed, 6 Double Bed, 7 Sofa Bed, 4 Bunk Bed",23,33.91560321,73.40731335,34,8.3,21 reviews,White House Cottages,https://www.booking.com/hotel/pk/white-house-cottages-murree.en-gb.html?label=gog235jc-1DCAsoZUInZHVicm92bmlrLW9sZC10b3duLWFwYXJ0bWVudHMtZHVicm92bmlrSDNYA2hliAEBmAExuAEXyAEP2AED6AEB-AECiAIBqAIDuALY9uSkBsACAdICJDBlNDY0YzdmLThjODItNDFjZS1iZWExLTViYjA1Mzk3NGM0YdgCBOACAQ&sid=e29e91753cc86c2aeb8721760453cb3a&aid=356980&ucfs=1&arphpl=1&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=0a439b2a6d29001f&srepoch=1688076246&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
3 Apartments,"Jungle Home Murree Near Bukhari CNG Station, Cuart Road,, 47150 Murree, Pakistan","1 Single Bed, 3 Double Bed",4,33.90919200,73.38937200,11,7.1,39 reviews,Mount Heaven Hotel Murree,https://www.booking.com/hotel/pk/jungle-home-murree.en-gb.html?label=gog235jc-1DCAsoZUInZHVicm92bmlrLW9sZC10b3duLWFwYXJ0bWVudHMtZHVicm92bmlrSDNYA2hliAEBmAExuAEXyAEP2AED6AEB-AECiAIBqAIDuALY9uSkBsACAdICJDBlNDY0YzdmLThjODItNDFjZS1iZWExLTViYjA1Mzk3NGM0YdgCBOACAQ&sid=e29e91753cc86c2aeb8721760453cb3a&aid=356980&ucfs=1&arphpl=1&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=0a439b2a6d29001f&srepoch=1688076246&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
4 Apartments,"TV Station Road pindi point, murree, 47150 Murree, Pakistan","2 Single Bed, 6 Extra Large Double Bed",8,33.89441310,73.38101528,21,8.5,109 reviews,Reina Boutique Hotel - Murree,https://www.booking.com/hotel/pk/reina-boutique-murree.en-gb.html?label=gog235jc-1DCAsoZUInZHVicm92bmlrLW9sZC10b3duLWFwYXJ0bWVudHMtZHVicm92bmlrSDNYA2hliAEBmAExuAEXyAEP2AED6AEB-AECiAIBqAIDuALY9uSkBsACAdICJDBlNDY0YzdmLThjODItNDFjZS1iZWExLTViYjA1Mzk3NGM0YdgCBOACAQ&sid=e29e91753cc86c2aeb8721760453cb3a&aid=356980&ucfs=1&arphpl=1&dest_id=-2769851&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=0a439b2a6d29001f&srepoch=1688076246&from=searchresults#hotelTmpl
